t,angle_deg,KE,PE,E_total
1.670833,-4.11237621e+00,1.23220054e-03,-7.03546286e-01,-7.02314079e-01
1.675000,-4.12263918e+00,1.23218657e-03,-7.05299139e-01,-7.04066932e-01
1.679167,-4.13290167e+00,1.23213371e-03,-7.07051933e-01,-7.05819786e-01
1.683333,-4.14316416e+00,1.23215106e-03,-7.08804727e-01,-7.07572579e-01
1.687500,-4.15342712e+00,1.23217423e-03,-7.10557461e-01,-7.09325314e-01
1.691667,-4.16368961e+00,1.23214547e-03,-7.12310255e-01,-7.11078107e-01
1.695833,-4.17395258e+00,1.23212009e-03,-7.14062929e-01,-7.12830782e-01
1.700000,-4.18421507e+00,1.23209588e-03,-7.15815604e-01,-7.14583516e-01
1.704167,-4.19447803e+00,1.23217434e-03,-7.17568278e-01,-7.16336131e-01
1.708333,-4.20474052e+00,1.23214698e-03,-7.19320893e-01,-7.18088746e-01
1.712500,-4.21500301e+00,1.23210601e-03,-7.21073449e-01,-7.19841361e-01
1.716667,-4.22526503e+00,1.23208738e-03,-7.22826004e-01,-7.21593916e-01
1.720833,-4.23552799e+00,1.23211369e-03,-7.24578619e-01,-7.23346531e-01
1.725000,-4.24579048e+00,1.23204757e-03,-7.26331055e-01,-7.25099027e-01
1.729167,-4.25605249e+00,1.23213162e-03,-7.28083551e-01,-7.26851404e-01
1.733333,-4.26631498e+00,1.23209192e-03,-7.29836047e-01,-7.28603959e-01
1.737500,-4.27657795e+00,1.23215932e-03,-7.31588542e-01,-7.30356395e-01
1.741667,-4.28684044e+00,1.23208063e-03,-7.33340919e-01,-7.32108831e-01
1.745833,-4.29710197e+00,1.23205583e-03,-7.35093296e-01,-7.33861268e-01
1.750000,-4.30736494e+00,1.23212987e-03,-7.36845672e-01,-7.35613525e-01
1.754167,-4.31762695e+00,1.23208354e-03,-7.38598049e-01,-7.37365961e-01
1.758333,-4.32788944e+00,1.23207248e-03,-7.40350366e-01,-7.39118278e-01
1.762500,-4.33815193e+00,1.23200845e-03,-7.42102623e-01,-7.40870595e-01
1.766667,-4.34841442e+00,1.23207201e-03,-7.43854880e-01,-7.42622793e-01
1.770833,-4.35867691e+00,1.23205862e-03,-7.45607138e-01,-7.44375050e-01
1.775000,-4.36893940e+00,1.23212044e-03,-7.47359395e-01,-7.46127248e-01
1.779167,-4.37920141e+00,1.23200915e-03,-7.49111533e-01,-7.47879505e-01
1.783333,-4.38946390e+00,1.23205571e-03,-7.50863731e-01,-7.49631703e-01
1.787500,-4.39972639e+00,1.23203045e-03,-7.52615869e-01,-7.51383841e-01
1.791667,-4.40998793e+00,1.23203779e-03,-7.54367948e-01,-7.53135920e-01
1.795833,-4.42025042e+00,1.23204046e-03,-7.56120026e-01,-7.54887998e-01
1.800000,-4.43051243e+00,1.23205245e-03,-7.57872045e-01,-7.56640017e-01
1.804167,-4.44077492e+00,1.23203290e-03,-7.59624124e-01,-7.58392096e-01
1.808333,-4.45103693e+00,1.23205641e-03,-7.61376143e-01,-7.60144114e-01
1.812500,-4.46129894e+00,1.23205909e-03,-7.63128102e-01,-7.61896014e-01
1.816667,-4.47156143e+00,1.23202219e-03,-7.64880061e-01,-7.63648033e-01
1.820833,-4.48182344e+00,1.23197667e-03,-7.66631961e-01,-7.65399992e-01
1.825000,-4.49208593e+00,1.23200426e-03,-7.68383861e-01,-7.67151833e-01
1.829167,-4.50234747e+00,1.23199471e-03,-7.70135701e-01,-7.68903732e-01
1.833333,-4.51260948e+00,1.23202486e-03,-7.71887541e-01,-7.70655513e-01
1.837500,-4.52287149e+00,1.23197376e-03,-7.73639381e-01,-7.72407413e-01
1.841667,-4.53313351e+00,1.23197213e-03,-7.75391102e-01,-7.74159133e-01
1.845833,-4.54339552e+00,1.23201439e-03,-7.77142882e-01,-7.75910854e-01
1.850000,-4.55365753e+00,1.23200717e-03,-7.78894603e-01,-7.77662575e-01
1.854167,-4.56392002e+00,1.23201974e-03,-7.80646384e-01,-7.79414356e-01
1.858333,-4.57418203e+00,1.23203581e-03,-7.82398045e-01,-7.81166017e-01
1.862500,-4.58444357e+00,1.23194698e-03,-7.84149647e-01,-7.82917678e-01
1.866667,-4.59470510e+00,1.23190868e-03,-7.85901189e-01,-7.84669280e-01
1.870833,-4.60496664e+00,1.23190065e-03,-7.87652731e-01,-7.86420822e-01
1.875000,-4.61522818e+00,1.23197725e-03,-7.89404273e-01,-7.88172305e-01
1.879167,-4.62549019e+00,1.23191532e-03,-7.91155815e-01,-7.89923906e-01
1.883333,-4.63575172e+00,1.23190950e-03,-7.92907238e-01,-7.91675329e-01
1.887500,-4.64601326e+00,1.23191602e-03,-7.94658720e-01,-7.93426812e-01
1.891667,-4.65627527e+00,1.23195187e-03,-7.96410203e-01,-7.95178235e-01
1.895833,-4.66653728e+00,1.23192044e-03,-7.98161566e-01,-7.96929657e-01
1.900000,-4.67679882e+00,1.23192521e-03,-7.99912930e-01,-7.98681021e-01
1.904167,-4.68706036e+00,1.23189110e-03,-8.01664293e-01,-8.00432384e-01
1.908333,-4.69732141e+00,1.23183813e-03,-8.03415477e-01,-8.02183628e-01
1.912500,-4.70758343e+00,1.23188074e-03,-8.05166841e-01,-8.03934932e-01
1.916667,-4.71784544e+00,1.23193732e-03,-8.06918144e-01,-8.05686235e-01
1.920833,-4.72810650e+00,1.23186142e-03,-8.08669388e-01,-8.07437539e-01
1.925000,-4.73836803e+00,1.23191380e-03,-8.10420632e-01,-8.09188724e-01
1.929167,-4.74862957e+00,1.23188389e-03,-8.12171757e-01,-8.10939848e-01
1.933333,-4.75889111e+00,1.23189704e-03,-8.13922942e-01,-8.12691033e-01
1.937500,-4.76915264e+00,1.23185827e-03,-8.15674067e-01,-8.14442217e-01
1.941667,-4.77941418e+00,1.23187574e-03,-8.17425132e-01,-8.16193283e-01
1.945833,-4.78967571e+00,1.23184151e-03,-8.19176137e-01,-8.17944288e-01
1.950000,-4.79993677e+00,1.23186584e-03,-8.20927203e-01,-8.19695354e-01
1.954167,-4.81019783e+00,1.23179099e-03,-8.22678149e-01,-8.21446359e-01
1.958333,-4.82045937e+00,1.23187480e-03,-8.24429095e-01,-8.23197246e-01
1.962500,-4.83072090e+00,1.23184395e-03,-8.26180041e-01,-8.24948192e-01
1.966667,-4.84098196e+00,1.23180263e-03,-8.27930927e-01,-8.26699138e-01
1.970833,-4.85124302e+00,1.23183383e-03,-8.29681754e-01,-8.28449905e-01
1.975000,-4.86150408e+00,1.23178563e-03,-8.31432581e-01,-8.30200791e-01
1.979167,-4.87176514e+00,1.23181753e-03,-8.33183408e-01,-8.31951618e-01
1.983333,-4.88202667e+00,1.23180612e-03,-8.34934175e-01,-8.33702385e-01
1.987500,-4.89228773e+00,1.23179320e-03,-8.36684942e-01,-8.35453153e-01
1.991667,-4.90254831e+00,1.23174943e-03,-8.38435590e-01,-8.37203860e-01
1.995833,-4.91280937e+00,1.23175350e-03,-8.40186238e-01,-8.38954508e-01
2.000000,-4.92307043e+00,1.23183569e-03,-8.41936886e-01,-8.40705037e-01
2.004167,-4.93333149e+00,1.23177562e-03,-8.43687475e-01,-8.42455685e-01
2.008333,-4.94359255e+00,1.23176165e-03,-8.45438063e-01,-8.44206274e-01
2.012500,-4.95385361e+00,1.23175827e-03,-8.47188652e-01,-8.45956922e-01
2.016667,-4.96411419e+00,1.23168854e-03,-8.48939121e-01,-8.47707450e-01
2.020833,-4.97437525e+00,1.23171287e-03,-8.50689650e-01,-8.49457920e-01
2.025000,-4.98463583e+00,1.23171019e-03,-8.52440119e-01,-8.51208389e-01
2.029167,-4.99489689e+00,1.23170647e-03,-8.54190528e-01,-8.52958798e-01
2.033334,-5.00515747e+00,1.23171543e-03,-8.55940878e-01,-8.54709148e-01
2.037500,-5.01541805e+00,1.23170705e-03,-8.57691288e-01,-8.56459558e-01
2.041667,-5.02567911e+00,1.23175688e-03,-8.59441638e-01,-8.58209908e-01
2.045833,-5.03594017e+00,1.23168086e-03,-8.61191928e-01,-8.59960258e-01
2.050000,-5.04620028e+00,1.23167515e-03,-8.62942159e-01,-8.61710489e-01
2.054167,-5.05646086e+00,1.23170973e-03,-8.64692330e-01,-8.63460600e-01
2.058333,-5.06672144e+00,1.23166933e-03,-8.66442561e-01,-8.65210891e-01
2.062500,-5.07698202e+00,1.23170216e-03,-8.68192792e-01,-8.66961062e-01
2.066667,-5.08724260e+00,1.23161019e-03,-8.69942844e-01,-8.68711233e-01
2.070833,-5.09750319e+00,1.23162253e-03,-8.71692955e-01,-8.70461345e-01
2.075000,-5.10776329e+00,1.23161706e-03,-8.73443007e-01,-8.72211397e-01
2.079167,-5.11802387e+00,1.23167003e-03,-8.75193059e-01,-8.73961389e-01
2.083333,-5.12828493e+00,1.23168761e-03,-8.76943171e-01,-8.75711501e-01
2.087500,-5.13854504e+00,1.23165699e-03,-8.78693163e-01,-8.77461493e-01
2.091667,-5.14880562e+00,1.23157038e-03,-8.80443096e-01,-8.79211545e-01
2.095834,-5.15906572e+00,1.23158027e-03,-8.82192910e-01,-8.80961359e-01
2.100000,-5.16932583e+00,1.23155001e-03,-8.83942783e-01,-8.82711232e-01
2.104167,-5.17958641e+00,1.23163289e-03,-8.85692656e-01,-8.84461045e-01
2.108333,-5.18984652e+00,1.23158086e-03,-8.87442410e-01,-8.86210859e-01
2.112500,-5.20010662e+00,1.23162626e-03,-8.89192164e-01,-8.87960553e-01
2.116667,-5.21036625e+00,1.23157282e-03,-8.90941918e-01,-8.89710367e-01
2.120833,-5.22062635e+00,1.23156165e-03,-8.92691612e-01,-8.91460061e-01
2.125000,-5.23088741e+00,1.23156561e-03,-8.94441307e-01,-8.93209755e-01
2.129167,-5.24114704e+00,1.23150111e-03,-8.96190941e-01,-8.94959450e-01
2.133333,-5.25140667e+00,1.23152707e-03,-8.97940516e-01,-8.96708965e-01
2.137500,-5.26166725e+00,1.23150286e-03,-8.99690032e-01,-8.98458540e-01
2.141667,-5.27192640e+00,1.23148283e-03,-9.01439548e-01,-9.00208056e-01
2.145833,-5.28218699e+00,1.23159634e-03,-9.03189123e-01,-9.01957512e-01
2.150000,-5.29244661e+00,1.23155594e-03,-9.04938579e-01,-9.03707027e-01
2.154167,-5.30270672e+00,1.23150379e-03,-9.06688035e-01,-9.05456543e-01
2.158334,-5.31296635e+00,1.23147946e-03,-9.08437431e-01,-9.07205939e-01
2.162500,-5.32322645e+00,1.23146642e-03,-9.10186768e-01,-9.08955276e-01
2.166667,-5.33348608e+00,1.23147666e-03,-9.11936104e-01,-9.10704613e-01
2.170833,-5.34374571e+00,1.23148679e-03,-9.13685381e-01,-9.12453890e-01
2.175000,-5.35400534e+00,1.23143918e-03,-9.15434659e-01,-9.14203227e-01
2.179167,-5.36426449e+00,1.23144267e-03,-9.17183816e-01,-9.15952384e-01
2.183333,-5.37452412e+00,1.23141892e-03,-9.18932974e-01,-9.17701542e-01
2.187500,-5.38478374e+00,1.23151601e-03,-9.20682132e-01,-9.19450641e-01
2.191667,-5.39504337e+00,1.23143848e-03,-9.22431290e-01,-9.21199858e-01
2.195833,-5.40530300e+00,1.23143580e-03,-9.24180388e-01,-9.22948956e-01
2.200000,-5.41556263e+00,1.23137166e-03,-9.25929427e-01,-9.24698055e-01
2.204167,-5.42582178e+00,1.23140297e-03,-9.27678406e-01,-9.26446974e-01
2.208333,-5.43608093e+00,1.23140286e-03,-9.29427385e-01,-9.28195953e-01
2.212500,-5.44634104e+00,1.23144523e-03,-9.31176364e-01,-9.29944932e-01
2.216667,-5.45660019e+00,1.23134279e-03,-9.32925284e-01,-9.31693912e-01
2.220834,-5.46685886e+00,1.23136165e-03,-9.34674084e-01,-9.33442712e-01
2.225000,-5.47711802e+00,1.23134104e-03,-9.36422944e-01,-9.35191631e-01
2.229167,-5.48737812e+00,1.23139471e-03,-9.38171744e-01,-9.36940372e-01
2.233333,-5.49763680e+00,1.23135967e-03,-9.39920485e-01,-9.38689113e-01
2.237500,-5.50789595e+00,1.23133138e-03,-9.41669226e-01,-9.40437913e-01
2.241667,-5.51815462e+00,1.23130321e-03,-9.43417907e-01,-9.42186594e-01
2.245833,-5.52841425e+00,1.23131694e-03,-9.45166588e-01,-9.43935275e-01
2.250000,-5.53867340e+00,1.23137014e-03,-9.46915269e-01,-9.45683897e-01
2.254167,-5.54893303e+00,1.23136048e-03,-9.48663831e-01,-9.47432458e-01
2.258333,-5.55919218e+00,1.23133033e-03,-9.50412452e-01,-9.49181139e-01
2.262500,-5.56945133e+00,1.23127177e-03,-9.52161014e-01,-9.50929761e-01
2.266667,-5.57971001e+00,1.23130972e-03,-9.53909457e-01,-9.52678144e-01
2.270833,-5.58996916e+00,1.23134418e-03,-9.55657959e-01,-9.54426587e-01
2.275000,-5.60022783e+00,1.23130996e-03,-9.57406402e-01,-9.56175089e-01
2.279167,-5.61048651e+00,1.23122451e-03,-9.59154725e-01,-9.57923472e-01
2.283334,-5.62074518e+00,1.23121066e-03,-9.60903049e-01,-9.59671855e-01
2.287500,-5.63100386e+00,1.23125361e-03,-9.62651372e-01,-9.61420119e-01
2.291667,-5.64126253e+00,1.23124884e-03,-9.64399576e-01,-9.63168323e-01
2.295833,-5.65152121e+00,1.23125315e-03,-9.66147840e-01,-9.64916587e-01
2.300000,-5.66177988e+00,1.23119284e-03,-9.67895985e-01,-9.66664791e-01
2.304167,-5.67203856e+00,1.23120646e-03,-9.69644189e-01,-9.68412995e-01
2.308333,-5.68229675e+00,1.23117759e-03,-9.71392274e-01,-9.70161080e-01
2.312500,-5.69255543e+00,1.23120297e-03,-9.73140359e-01,-9.71909165e-01
2.316667,-5.70281410e+00,1.23117445e-03,-9.74888384e-01,-9.73657191e-01
2.320833,-5.71307230e+00,1.23117282e-03,-9.76636410e-01,-9.75405216e-01
2.325000,-5.72333097e+00,1.23116432e-03,-9.78384376e-01,-9.77153182e-01
2.329167,-5.73358870e+00,1.23111333e-03,-9.80132282e-01,-9.78901148e-01
2.333333,-5.74384737e+00,1.23116956e-03,-9.81880128e-01,-9.80648935e-01
2.337500,-5.75410509e+00,1.23116001e-03,-9.83628035e-01,-9.82396901e-01
2.341667,-5.76436377e+00,1.23109377e-03,-9.85375822e-01,-9.84144747e-01
2.345834,-5.77462149e+00,1.23110309e-03,-9.87123549e-01,-9.85892475e-01
2.350000,-5.78487921e+00,1.23104989e-03,-9.88871217e-01,-9.87640142e-01
2.354167,-5.79513788e+00,1.23111438e-03,-9.90618944e-01,-9.89387810e-01
2.358333,-5.80539560e+00,1.23114639e-03,-9.92366612e-01,-9.91135478e-01
2.362500,-5.81565332e+00,1.23106840e-03,-9.94114220e-01,-9.92883146e-01
2.366667,-5.82591105e+00,1.23101426e-03,-9.95861709e-01,-9.94630694e-01
2.370833,-5.83616924e+00,1.23101519e-03,-9.97609198e-01,-9.96378183e-01
2.375000,-5.84642696e+00,1.23105408e-03,-9.99356747e-01,-9.98125672e-01
2.379167,-5.85668468e+00,1.23099354e-03,-1.00110412e+00,-9.99873102e-01
2.383333,-5.86694241e+00,1.23103359e-03,-1.00285161e+00,-1.00162053e+00
2.387500,-5.87720013e+00,1.23098562e-03,-1.00459898e+00,-1.00336802e+00
2.391667,-5.88745785e+00,1.23100425e-03,-1.00634634e+00,-1.00511539e+00
2.395833,-5.89771557e+00,1.23099214e-03,-1.00809360e+00,-1.00686264e+00
2.400000,-5.90797329e+00,1.23102730e-03,-1.00984097e+00,-1.00860989e+00
2.404167,-5.91823053e+00,1.23094907e-03,-1.01158822e+00,-1.01035726e+00
2.408334,-5.92848778e+00,1.23095210e-03,-1.01333535e+00,-1.01210439e+00
2.412500,-5.93874502e+00,1.23088178e-03,-1.01508236e+00,-1.01385152e+00
2.416667,-5.94900227e+00,1.23093638e-03,-1.01682949e+00,-1.01559854e+00
2.420833,-5.95925951e+00,1.23093196e-03,-1.01857650e+00,-1.01734555e+00
2.425000,-5.96951723e+00,1.23093114e-03,-1.02032351e+00,-1.01909256e+00
2.429167,-5.97977448e+00,1.23090250e-03,-1.02207053e+00,-1.02083957e+00
2.433333,-5.99003172e+00,1.23091054e-03,-1.02381742e+00,-1.02258646e+00
2.437500,-6.00028896e+00,1.23090611e-03,-1.02556443e+00,-1.02433348e+00
2.441667,-6.01054668e+00,1.23091927e-03,-1.02731133e+00,-1.02608037e+00
2.445833,-6.02080297e+00,1.23083021e-03,-1.02905810e+00,-1.02782726e+00
2.450000,-6.03106022e+00,1.23085640e-03,-1.03080487e+00,-1.02957404e+00
2.454167,-6.04131699e+00,1.23081706e-03,-1.03255165e+00,-1.03132081e+00
2.458333,-6.05157375e+00,1.23079761e-03,-1.03429830e+00,-1.03306746e+00
2.462500,-6.06183052e+00,1.23083033e-03,-1.03604496e+00,-1.03481412e+00
2.466667,-6.07208729e+00,1.23081345e-03,-1.03779161e+00,-1.03656077e+00
2.470834,-6.08234406e+00,1.23077270e-03,-1.03953815e+00,-1.03830743e+00
2.475000,-6.09260082e+00,1.23076735e-03,-1.04128468e+00,-1.04005396e+00
2.479167,-6.10285759e+00,1.23072241e-03,-1.04303122e+00,-1.04180050e+00
2.483333,-6.11311436e+00,1.23080681e-03,-1.04477763e+00,-1.04354680e+00
2.487500,-6.12337160e+00,1.23080867e-03,-1.04652405e+00,-1.04529321e+00
2.491667,-6.13362789e+00,1.23077026e-03,-1.04827046e+00,-1.04703975e+00
2.495833,-6.14388466e+00,1.23071822e-03,-1.05001688e+00,-1.04878616e+00
2.500000,-6.15414095e+00,1.23072229e-03,-1.05176318e+00,-1.05053246e+00
2.504167,-6.16439724e+00,1.23075617e-03,-1.05350935e+00,-1.05227864e+00
2.508333,-6.17465401e+00,1.23074627e-03,-1.05525565e+00,-1.05402493e+00
2.512500,-6.18491030e+00,1.23069412e-03,-1.05700183e+00,-1.05577111e+00
2.516667,-6.19516706e+00,1.23064930e-03,-1.05874801e+00,-1.05751741e+00
2.520833,-6.20542288e+00,1.23064523e-03,-1.06049407e+00,-1.05926347e+00
2.525000,-6.21567869e+00,1.23070425e-03,-1.06224012e+00,-1.06100941e+00
2.529167,-6.22593498e+00,1.23062916e-03,-1.06398606e+00,-1.06275547e+00
2.533334,-6.23619127e+00,1.23060774e-03,-1.06573212e+00,-1.06450152e+00
2.537500,-6.24644709e+00,1.23063871e-03,-1.06747794e+00,-1.06624734e+00
2.541667,-6.25670290e+00,1.23058353e-03,-1.06922376e+00,-1.06799316e+00
2.545833,-6.26695871e+00,1.23063545e-03,-1.07096958e+00,-1.06973898e+00
2.550000,-6.27721453e+00,1.23057549e-03,-1.07271540e+00,-1.07148480e+00
2.554167,-6.28747034e+00,1.23058958e-03,-1.07446110e+00,-1.07323050e+00
2.558333,-6.29772615e+00,1.23053929e-03,-1.07620680e+00,-1.07497621e+00
2.562500,-6.30798149e+00,1.23048911e-03,-1.07795250e+00,-1.07672203e+00
2.566667,-6.31823730e+00,1.23055442e-03,-1.07969809e+00,-1.07846749e+00
2.570833,-6.32849312e+00,1.23051426e-03,-1.08144367e+00,-1.08021319e+00
2.575000,-6.33874846e+00,1.23047794e-03,-1.08318925e+00,-1.08195877e+00
2.579167,-6.34900475e+00,1.23055896e-03,-1.08493471e+00,-1.08370411e+00
2.583333,-6.35925961e+00,1.23045850e-03,-1.08668017e+00,-1.08544970e+00
2.587500,-6.36951494e+00,1.23047316e-03,-1.08842552e+00,-1.08719504e+00
2.591667,-6.37977028e+00,1.23046990e-03,-1.09017098e+00,-1.08894050e+00
2.595834,-6.39002562e+00,1.23045081e-03,-1.09191620e+00,-1.09068573e+00
2.600000,-6.40028095e+00,1.23044755e-03,-1.09366155e+00,-1.09243107e+00
2.604167,-6.41053581e+00,1.23041100e-03,-1.09540677e+00,-1.09417641e+00
2.608334,-6.42079115e+00,1.23044057e-03,-1.09715199e+00,-1.09592152e+00
2.612500,-6.43104649e+00,1.23046432e-03,-1.09889722e+00,-1.09766674e+00
2.616667,-6.44130182e+00,1.23044860e-03,-1.10064232e+00,-1.09941185e+00
2.620833,-6.45155621e+00,1.23037281e-03,-1.10238731e+00,-1.10115695e+00
2.625000,-6.46181154e+00,1.23034953e-03,-1.10413229e+00,-1.10290194e+00
2.629167,-6.47206640e+00,1.23028643e-03,-1.10587728e+00,-1.10464704e+00
2.633333,-6.48232126e+00,1.23036373e-03,-1.10762227e+00,-1.10639191e+00
2.637500,-6.49257612e+00,1.23036944e-03,-1.10936713e+00,-1.10813677e+00
2.641667,-6.50283098e+00,1.23033114e-03,-1.11111200e+00,-1.10988164e+00
2.645833,-6.51308584e+00,1.23029435e-03,-1.11285686e+00,-1.11162663e+00
2.650000,-6.52334023e+00,1.23026595e-03,-1.11460161e+00,-1.11337137e+00
2.654167,-6.53359509e+00,1.23028783e-03,-1.11634624e+00,-1.11511600e+00
2.658334,-6.54384995e+00,1.23032683e-03,-1.11809099e+00,-1.11686063e+00
2.662500,-6.55410433e+00,1.23027759e-03,-1.11983562e+00,-1.11860538e+00
2.666667,-6.56435871e+00,1.23026292e-03,-1.12158024e+00,-1.12035000e+00
2.670834,-6.57461309e+00,1.23019819e-03,-1.12332475e+00,-1.12209451e+00
2.675000,-6.58486748e+00,1.23025605e-03,-1.12506926e+00,-1.12383902e+00
2.679167,-6.59512186e+00,1.23022380e-03,-1.12681365e+00,-1.12558341e+00
2.683333,-6.60537672e+00,1.23021589e-03,-1.12855816e+00,-1.12732792e+00
2.687500,-6.61563063e+00,1.23017852e-03,-1.13030255e+00,-1.12907243e+00
2.691667,-6.62588501e+00,1.23017584e-03,-1.13204682e+00,-1.13081670e+00
2.695833,-6.63613892e+00,1.23018958e-03,-1.13379109e+00,-1.13256085e+00
2.700000,-6.64639330e+00,1.23017957e-03,-1.13553536e+00,-1.13430524e+00
2.704167,-6.65664673e+00,1.23012450e-03,-1.13727951e+00,-1.13604939e+00
2.708333,-6.66690016e+00,1.23010133e-03,-1.13902354e+00,-1.13779342e+00
2.712500,-6.67715359e+00,1.23003405e-03,-1.14076757e+00,-1.13953757e+00
2.716667,-6.68740797e+00,1.23011600e-03,-1.14251161e+00,-1.14128149e+00
2.720834,-6.69766140e+00,1.23005058e-03,-1.14425564e+00,-1.14302564e+00
2.725000,-6.70791531e+00,1.23002566e-03,-1.14599955e+00,-1.14476955e+00
2.729167,-6.71816874e+00,1.23003521e-03,-1.14774346e+00,-1.14651346e+00
2.733334,-6.72842216e+00,1.22999982e-03,-1.14948726e+00,-1.14825726e+00
2.737500,-6.73867559e+00,1.23004196e-03,-1.15123105e+00,-1.15000105e+00
2.741667,-6.74892902e+00,1.23004080e-03,-1.15297484e+00,-1.15174484e+00
2.745833,-6.75918245e+00,1.23001775e-03,-1.15471852e+00,-1.15348852e+00
2.750000,-6.76943636e+00,1.22998550e-03,-1.15646231e+00,-1.15523231e+00
2.754167,-6.77968931e+00,1.22993055e-03,-1.15820587e+00,-1.15697598e+00
2.758333,-6.78994226e+00,1.22996338e-03,-1.15994942e+00,-1.15871942e+00
2.762500,-6.80019522e+00,1.22994045e-03,-1.16169298e+00,-1.16046309e+00
2.766667,-6.81044865e+00,1.22995186e-03,-1.16343653e+00,-1.16220653e+00
2.770833,-6.82070160e+00,1.22990832e-03,-1.16517985e+00,-1.16394997e+00
2.775000,-6.83095407e+00,1.22986920e-03,-1.16692328e+00,-1.16569340e+00
2.779167,-6.84120703e+00,1.22989819e-03,-1.16866660e+00,-1.16743672e+00
2.783334,-6.85145998e+00,1.22994184e-03,-1.17040992e+00,-1.16917992e+00
2.787500,-6.86171293e+00,1.22984615e-03,-1.17215312e+00,-1.17092323e+00
2.791667,-6.87196589e+00,1.22983265e-03,-1.17389631e+00,-1.17266643e+00
2.795834,-6.88221836e+00,1.22980995e-03,-1.17563951e+00,-1.17440975e+00
2.800000,-6.89247036e+00,1.22979481e-03,-1.17738259e+00,-1.17615283e+00
2.804167,-6.90272284e+00,1.22981216e-03,-1.17912555e+00,-1.17789578e+00
2.808333,-6.91297483e+00,1.22978399e-03,-1.18086863e+00,-1.17963886e+00
2.812500,-6.92322731e+00,1.22975861e-03,-1.18261158e+00,-1.18138182e+00
2.816667,-6.93348026e+00,1.22973719e-03,-1.18435442e+00,-1.18312466e+00
2.820833,-6.94373226e+00,1.22973544e-03,-1.18609726e+00,-1.18486750e+00
2.825000,-6.95398474e+00,1.22973265e-03,-1.18784010e+00,-1.18661034e+00
2.829167,-6.96423626e+00,1.22974976e-03,-1.18958294e+00,-1.18835318e+00
2.833333,-6.97448874e+00,1.22974685e-03,-1.19132566e+00,-1.19009590e+00
2.837500,-6.98474121e+00,1.22970052e-03,-1.19306839e+00,-1.19183874e+00
2.841667,-6.99499321e+00,1.22962170e-03,-1.19481099e+00,-1.19358134e+00
2.845834,-7.00524473e+00,1.22970401e-03,-1.19655359e+00,-1.19532382e+00
2.850000,-7.01549721e+00,1.22963951e-03,-1.19829607e+00,-1.19706643e+00
2.854167,-7.02574873e+00,1.22959854e-03,-1.20003855e+00,-1.19880891e+00
2.858334,-7.03599977e+00,1.22965896e-03,-1.20178103e+00,-1.20055139e+00
2.862500,-7.04625225e+00,1.22960936e-03,-1.20352340e+00,-1.20229375e+00
2.866667,-7.05650377e+00,1.22960447e-03,-1.20526576e+00,-1.20403612e+00
2.870833,-7.06675482e+00,1.22958585e-03,-1.20700800e+00,-1.20577836e+00
2.875000,-7.07700682e+00,1.22960005e-03,-1.20875025e+00,-1.20752060e+00
2.879167,-7.08725834e+00,1.22955651e-03,-1.21049249e+00,-1.20926297e+00
2.883333,-7.09750938e+00,1.22947432e-03,-1.21223462e+00,-1.21100509e+00
2.887500,-7.10776091e+00,1.22951414e-03,-1.21397662e+00,-1.21274710e+00
2.891667,-7.11801195e+00,1.22950459e-03,-1.21571875e+00,-1.21448922e+00
2.895833,-7.12826300e+00,1.22948550e-03,-1.21746063e+00,-1.21623111e+00
2.900000,-7.13851404e+00,1.22946408e-03,-1.21920264e+00,-1.21797323e+00
2.904167,-7.14876509e+00,1.22944533e-03,-1.22094452e+00,-1.21971512e+00
2.908334,-7.15901613e+00,1.22942438e-03,-1.22268629e+00,-1.22145689e+00
2.912500,-7.16926718e+00,1.22942904e-03,-1.22442818e+00,-1.22319877e+00
2.916667,-7.17951775e+00,1.22943358e-03,-1.22616982e+00,-1.22494042e+00
2.920834,-7.18976879e+00,1.22940994e-03,-1.22791159e+00,-1.22668219e+00
2.925000,-7.20001841e+00,1.22934394e-03,-1.22965312e+00,-1.22842383e+00
2.929167,-7.21026945e+00,1.22939888e-03,-1.23139477e+00,-1.23016536e+00
2.933333,-7.22052002e+00,1.22939213e-03,-1.23313630e+00,-1.23190689e+00
2.937500,-7.23077059e+00,1.22932647e-03,-1.23487782e+00,-1.23364854e+00
2.941667,-7.24102068e+00,1.22929481e-03,-1.23661923e+00,-1.23538995e+00
2.945833,-7.25127125e+00,1.22927909e-03,-1.23836064e+00,-1.23713136e+00
2.950000,-7.26152182e+00,1.22929225e-03,-1.24010193e+00,-1.23887265e+00
2.954167,-7.27177191e+00,1.22925779e-03,-1.24184322e+00,-1.24061394e+00
2.958333,-7.28202248e+00,1.22927898e-03,-1.24358451e+00,-1.24235523e+00
2.962500,-7.29227209e+00,1.22930738e-03,-1.24532568e+00,-1.24409640e+00
2.966667,-7.30252266e+00,1.22927595e-03,-1.24706686e+00,-1.24583757e+00
2.970834,-7.31277275e+00,1.22925383e-03,-1.24880803e+00,-1.24757874e+00
2.975000,-7.32302237e+00,1.22926501e-03,-1.25054908e+00,-1.24931979e+00
2.979167,-7.33327293e+00,1.22919830e-03,-1.25229001e+00,-1.25106084e+00
2.983334,-7.34352255e+00,1.22921390e-03,-1.25403106e+00,-1.25280190e+00
2.987500,-7.35377264e+00,1.22912182e-03,-1.25577188e+00,-1.25454271e+00
