t,box_y,box_vy,p_body_y,p_grid_y,p_sum_y,KE_box,nodes_inside
0.183333,5.19872665e-01,-1.67750806e-01,-1.67750806e-01,0.00000000e+00,-1.67750806e-01,1.40701663e-02,16
0.187500,5.19174159e-01,-1.67641237e-01,-1.67641237e-01,0.00000000e+00,-1.67641237e-01,1.40517922e-02,16
0.191667,5.18476069e-01,-1.67537272e-01,-1.67537272e-01,0.00000000e+00,-1.67537272e-01,1.40343690e-02,16
0.195833,5.17778397e-01,-1.67438492e-01,-1.67438492e-01,0.00000000e+00,-1.67438492e-01,1.40178241e-02,16
0.200000,5.17081141e-01,-1.67344511e-01,-1.67344511e-01,0.00000000e+00,-1.67344511e-01,1.40020922e-02,16
0.204167,5.16384244e-01,-1.67254984e-01,-1.67254984e-01,0.00000000e+00,-1.67254984e-01,1.39871147e-02,16
0.208333,5.15687704e-01,-1.67169586e-01,-1.67169586e-01,0.00000000e+00,-1.67169586e-01,1.39728356e-02,16
0.212500,5.14991522e-01,-1.67088032e-01,-1.67088032e-01,0.00000000e+00,-1.67088032e-01,1.39592048e-02,16
0.216667,5.14295638e-01,-1.67010084e-01,-1.67010084e-01,0.00000000e+00,-1.67010084e-01,1.39461840e-02,16
0.220833,5.13600051e-01,-1.66935503e-01,-1.66935503e-01,0.00000000e+00,-1.66935503e-01,1.39337312e-02,16
0.225000,5.12904763e-01,-1.66864067e-01,-1.66864067e-01,0.00000000e+00,-1.66864067e-01,1.39218085e-02,16
0.229167,5.12209773e-01,-1.66795567e-01,-1.66795567e-01,0.00000000e+00,-1.66795567e-01,1.39103802e-02,16
0.233333,5.11515081e-01,-1.66729838e-01,-1.66729838e-01,0.00000000e+00,-1.66729838e-01,1.38994195e-02,16
0.237500,5.10820627e-01,-1.66666716e-01,-1.66666716e-01,0.00000000e+00,-1.66666716e-01,1.38888974e-02,16
0.241667,5.10126412e-01,-1.66606039e-01,-1.66606039e-01,0.00000000e+00,-1.66606039e-01,1.38787860e-02,16
0.245833,5.09432435e-01,-1.66547656e-01,-1.66547656e-01,0.00000000e+00,-1.66547656e-01,1.38690611e-02,16
0.250000,5.08738697e-01,-1.66491464e-01,-1.66491464e-01,0.00000000e+00,-1.66491464e-01,1.38597041e-02,16
0.254167,5.08045197e-01,-1.66437313e-01,-1.66437313e-01,0.00000000e+00,-1.66437313e-01,1.38506899e-02,16
0.258333,5.07351935e-01,-1.66385114e-01,-1.66385114e-01,0.00000000e+00,-1.66385114e-01,1.38420034e-02,16
0.262500,5.06658852e-01,-1.66334748e-01,-1.66334748e-01,0.00000000e+00,-1.66334748e-01,1.38336243e-02,16
0.266667,5.05966008e-01,-1.66286126e-01,-1.66286126e-01,0.00000000e+00,-1.66286126e-01,1.38255376e-02,16
0.270833,5.05273342e-01,-1.66239157e-01,-1.66239157e-01,0.00000000e+00,-1.66239157e-01,1.38177285e-02,16
0.275000,5.04580855e-01,-1.66193753e-01,-1.66193753e-01,0.00000000e+00,-1.66193753e-01,1.38101820e-02,16
0.279167,5.03888547e-01,-1.66149840e-01,-1.66149840e-01,0.00000000e+00,-1.66149840e-01,1.38028851e-02,16
0.283333,5.03196418e-01,-1.66107342e-01,-1.66107342e-01,0.00000000e+00,-1.66107342e-01,1.37958247e-02,16
0.287500,5.02504468e-01,-1.66066214e-01,-1.66066214e-01,0.00000000e+00,-1.66066214e-01,1.37889935e-02,16
0.291667,5.01812696e-01,-1.66026354e-01,-1.66026354e-01,0.00000000e+00,-1.66026354e-01,1.37823755e-02,16
0.295833,5.01121104e-01,-1.65987715e-01,-1.65987715e-01,0.00000000e+00,-1.65987715e-01,1.37759605e-02,16
0.300000,5.00429630e-01,-1.65950254e-01,-1.65950254e-01,0.00000000e+00,-1.65950254e-01,1.37697430e-02,16
0.304167,4.99738336e-01,-1.65913910e-01,-1.65913910e-01,0.00000000e+00,-1.65913910e-01,1.37637127e-02,16
0.308333,4.99047160e-01,-1.65878639e-01,-1.65878639e-01,0.00000000e+00,-1.65878639e-01,1.37578612e-02,16
0.312500,4.98356134e-01,-1.65844381e-01,-1.65844381e-01,0.00000000e+00,-1.65844381e-01,1.37521792e-02,16
0.316667,4.97665256e-01,-1.65811107e-01,-1.65811107e-01,0.00000000e+00,-1.65811107e-01,1.37466611e-02,16
0.320833,4.96974498e-01,-1.65778756e-01,-1.65778756e-01,0.00000000e+00,-1.65778756e-01,1.37412976e-02,16
0.325000,4.96283889e-01,-1.65747300e-01,-1.65747300e-01,0.00000000e+00,-1.65747300e-01,1.37360841e-02,16
0.329167,4.95593399e-01,-1.65716723e-01,-1.65716723e-01,0.00000000e+00,-1.65716723e-01,1.37310158e-02,16
0.333333,4.94903028e-01,-1.65686965e-01,-1.65686965e-01,0.00000000e+00,-1.65686965e-01,1.37260854e-02,16
0.337500,4.94212776e-01,-1.65657997e-01,-1.65657997e-01,0.00000000e+00,-1.65657997e-01,1.37212863e-02,16
0.341667,4.93522644e-01,-1.65629789e-01,-1.65629789e-01,0.00000000e+00,-1.65629789e-01,1.37166139e-02,16
0.345833,4.92832631e-01,-1.65602311e-01,-1.65602311e-01,0.00000000e+00,-1.65602311e-01,1.37120625e-02,16
0.350000,4.92142737e-01,-1.65575549e-01,-1.65575549e-01,0.00000000e+00,-1.65575549e-01,1.37076313e-02,16
0.354167,4.91452962e-01,-1.65549457e-01,-1.65549457e-01,0.00000000e+00,-1.65549457e-01,1.37033118e-02,16
0.358333,4.90763277e-01,-1.65524006e-01,-1.65524006e-01,0.00000000e+00,-1.65524006e-01,1.36990985e-02,16
0.362500,4.90073711e-01,-1.65499181e-01,-1.65499181e-01,0.00000000e+00,-1.65499181e-01,1.36949895e-02,16
0.366667,4.89384234e-01,-1.65474966e-01,-1.65474966e-01,0.00000000e+00,-1.65474966e-01,1.36909820e-02,16
0.370833,4.88694847e-01,-1.65451333e-01,-1.65451333e-01,0.00000000e+00,-1.65451333e-01,1.36870714e-02,16
0.375000,4.88005549e-01,-1.65428266e-01,-1.65428266e-01,0.00000000e+00,-1.65428266e-01,1.36832558e-02,16
0.379167,4.87316370e-01,-1.65405720e-01,-1.65405720e-01,0.00000000e+00,-1.65405720e-01,1.36795258e-02,16
0.383333,4.86627281e-01,-1.65383711e-01,-1.65383711e-01,0.00000000e+00,-1.65383711e-01,1.36758862e-02,16
0.387500,4.85938281e-01,-1.65362194e-01,-1.65362194e-01,0.00000000e+00,-1.65362194e-01,1.36723276e-02,16
0.391667,4.85249370e-01,-1.65341169e-01,-1.65341169e-01,0.00000000e+00,-1.65341169e-01,1.36688510e-02,16
0.395833,4.84560549e-01,-1.65320620e-01,-1.65320620e-01,0.00000000e+00,-1.65320620e-01,1.36654535e-02,16
0.400000,4.83871788e-01,-1.65300533e-01,-1.65300533e-01,0.00000000e+00,-1.65300533e-01,1.36621334e-02,16
0.404167,4.83183116e-01,-1.65280879e-01,-1.65280879e-01,0.00000000e+00,-1.65280879e-01,1.36588840e-02,16
0.408333,4.82494533e-01,-1.65261641e-01,-1.65261641e-01,0.00000000e+00,-1.65261641e-01,1.36557054e-02,16
0.412500,4.81806010e-01,-1.65242821e-01,-1.65242821e-01,0.00000000e+00,-1.65242821e-01,1.36525948e-02,16
0.416667,4.81117576e-01,-1.65224403e-01,-1.65224403e-01,0.00000000e+00,-1.65224403e-01,1.36495521e-02,16
0.420833,4.80429202e-01,-1.65206358e-01,-1.65206358e-01,0.00000000e+00,-1.65206358e-01,1.36465700e-02,16
0.425000,4.79740918e-01,-1.65188700e-01,-1.65188700e-01,0.00000000e+00,-1.65188700e-01,1.36436531e-02,16
0.429167,4.79052693e-01,-1.65171415e-01,-1.65171415e-01,0.00000000e+00,-1.65171415e-01,1.36407977e-02,16
0.433333,4.78364557e-01,-1.65154457e-01,-1.65154457e-01,0.00000000e+00,-1.65154457e-01,1.36379972e-02,16
0.437500,4.77676481e-01,-1.65137857e-01,-1.65137857e-01,0.00000000e+00,-1.65137857e-01,1.36352563e-02,16
0.441667,4.76988465e-01,-1.65121585e-01,-1.65121585e-01,0.00000000e+00,-1.65121585e-01,1.36325685e-02,16
0.445833,4.76300538e-01,-1.65105641e-01,-1.65105641e-01,0.00000000e+00,-1.65105641e-01,1.36299366e-02,16
