t,KE,vx
0.508333,3.00587101e+01,7.75354242e+00
0.512500,2.99335957e+01,7.73738909e+00
0.516667,2.98089981e+01,7.72126913e+00
0.520833,2.96849232e+01,7.70518303e+00
0.525000,2.95613632e+01,7.68913031e+00
0.529167,2.94383163e+01,7.67311096e+00
0.533333,2.93157825e+01,7.65712500e+00
0.537500,2.91937580e+01,7.64117241e+00
0.541667,2.90722427e+01,7.62525320e+00
0.545833,2.89512329e+01,7.60936689e+00
0.550000,2.88307266e+01,7.59351397e+00
0.554167,2.87107220e+01,7.57769394e+00
0.558333,2.85912170e+01,7.56190681e+00
0.562500,2.84722099e+01,7.54615259e+00
0.566667,2.83536968e+01,7.53043127e+00
0.570833,2.82356796e+01,7.51474285e+00
0.575000,2.81181526e+01,7.49908686e+00
0.579167,2.80011158e+01,7.48346376e+00
0.583333,2.78845634e+01,7.46787310e+00
0.587500,2.77684975e+01,7.45231485e+00
0.591667,2.76529160e+01,7.43678904e+00
0.595833,2.75378151e+01,7.42129564e+00
0.600000,2.74231892e+01,7.40583420e+00
0.604167,2.73090439e+01,7.39040518e+00
0.608333,2.71953716e+01,7.37500811e+00
0.612500,2.70821762e+01,7.35964346e+00
0.616667,2.69694500e+01,7.34431076e+00
0.620833,2.68571930e+01,7.32901001e+00
0.625000,2.67454052e+01,7.31374121e+00
0.629167,2.66340790e+01,7.29850388e+00
0.633333,2.65232182e+01,7.28329849e+00
0.637500,2.64128170e+01,7.26812458e+00
0.641667,2.63028793e+01,7.25298262e+00
0.645833,2.61933956e+01,7.23787212e+00
0.650000,2.60843697e+01,7.22279310e+00
0.654167,2.59757977e+01,7.20774555e+00
0.658333,2.58676758e+01,7.19272900e+00
0.662500,2.57600040e+01,7.17774391e+00
0.666667,2.56527824e+01,7.16279030e+00
0.670833,2.55460052e+01,7.14786768e+00
0.675000,2.54396744e+01,7.13297606e+00
0.679167,2.53337841e+01,7.11811543e+00
0.683333,2.52283344e+01,7.10328579e+00
0.687500,2.51233253e+01,7.08848715e+00
0.691667,2.50187531e+01,7.07371950e+00
0.695833,2.49146156e+01,7.05898237e+00
0.700000,2.48109112e+01,7.04427576e+00
0.704167,2.47076397e+01,7.02960014e+00
0.708333,2.46047974e+01,7.01495504e+00
0.712500,2.45023842e+01,7.00034046e+00
0.716667,2.44003963e+01,6.98575640e+00
0.720833,2.42988319e+01,6.97120237e+00
0.725000,2.41976910e+01,6.95667887e+00
0.729167,2.40969696e+01,6.94218540e+00
0.733333,2.39966698e+01,6.92772245e+00
0.737500,2.38967857e+01,6.91328955e+00
0.741667,2.37973194e+01,6.89888668e+00
0.745833,2.36982651e+01,6.88451385e+00
0.750000,2.35996246e+01,6.87017107e+00
0.754167,2.35013943e+01,6.85585785e+00
0.758333,2.34035721e+01,6.84157467e+00
0.762500,2.33061562e+01,6.82732105e+00
0.766667,2.32091484e+01,6.81309748e+00
0.770833,2.31125450e+01,6.79890347e+00
0.775000,2.30163422e+01,6.78473902e+00
0.779167,2.29205399e+01,6.77060413e+00
0.783333,2.28251343e+01,6.75649834e+00
0.787500,2.27301273e+01,6.74242210e+00
0.791667,2.26355171e+01,6.72837543e+00
0.795833,2.25412998e+01,6.71435785e+00
0.800000,2.24474754e+01,6.70036936e+00
