t,KE,vx
2.529167,3.97563362e+00,2.81979918e+00
2.533334,3.95908570e+00,2.81392455e+00
2.537500,3.94260621e+00,2.80806208e+00
2.541667,3.92619538e+00,2.80221176e+00
2.545833,3.90985322e+00,2.79637384e+00
2.550000,3.89357924e+00,2.79054809e+00
2.554167,3.87737250e+00,2.78473425e+00
2.558333,3.86123323e+00,2.77893257e+00
2.562500,3.84516120e+00,2.77314305e+00
2.566667,3.82915640e+00,2.76736569e+00
2.570833,3.81321788e+00,2.76160026e+00
2.575000,3.79734564e+00,2.75584674e+00
2.579167,3.78153992e+00,2.75010538e+00
2.583333,3.76579976e+00,2.74437594e+00
2.587500,3.75012493e+00,2.73865843e+00
2.591667,3.73451567e+00,2.73295283e+00
2.595834,3.71897125e+00,2.72725916e+00
2.600000,3.70349169e+00,2.72157741e+00
2.604167,3.68807626e+00,2.71590734e+00
2.608334,3.67272544e+00,2.71024919e+00
2.612500,3.65743804e+00,2.70460272e+00
2.616667,3.64221454e+00,2.69896817e+00
2.620833,3.62705445e+00,2.69334531e+00
2.625000,3.61195731e+00,2.68773413e+00
2.629167,3.59692311e+00,2.68213463e+00
2.633333,3.58195138e+00,2.67654681e+00
2.637500,3.56704211e+00,2.67097068e+00
2.641667,3.55219460e+00,2.66540599e+00
2.645833,3.53740883e+00,2.65985298e+00
2.650000,3.52268529e+00,2.65431166e+00
2.654167,3.50802255e+00,2.64878178e+00
2.658334,3.49342060e+00,2.64326334e+00
2.662500,3.47887993e+00,2.63775659e+00
2.666667,3.46439981e+00,2.63226128e+00
2.670834,3.44997978e+00,2.62677741e+00
2.675000,3.43561983e+00,2.62130499e+00
2.679167,3.42131925e+00,2.61584377e+00
2.683333,3.40707850e+00,2.61039400e+00
2.687500,3.39289713e+00,2.60495567e+00
2.691667,3.37877440e+00,2.59952855e+00
2.695833,3.36471081e+00,2.59411287e+00
2.700000,3.35070562e+00,2.58870840e+00
2.704167,3.33675861e+00,2.58331513e+00
2.708333,3.32286954e+00,2.57793307e+00
2.712500,3.30903816e+00,2.57256222e+00
2.716667,3.29526448e+00,2.56720257e+00
2.720834,3.28154826e+00,2.56185412e+00
2.725000,3.26788926e+00,2.55651689e+00
2.729167,3.25428748e+00,2.55119085e+00
2.733334,3.24074173e+00,2.54587579e+00
2.737500,3.22725296e+00,2.54057193e+00
2.741667,3.21381998e+00,2.53527904e+00
2.745833,3.20044279e+00,2.52999711e+00
2.750000,3.18712115e+00,2.52472615e+00
2.754167,3.17385483e+00,2.51946616e+00
2.758333,3.16064382e+00,2.51421714e+00
2.762500,3.14748812e+00,2.50897908e+00
2.766667,3.13438702e+00,2.50375199e+00
2.770833,3.12134075e+00,2.49853587e+00
2.775000,3.10834837e+00,2.49333048e+00
2.779167,3.09541059e+00,2.48813605e+00
2.783334,3.08252621e+00,2.48295236e+00
2.787500,3.06969523e+00,2.47777939e+00
2.791667,3.05691838e+00,2.47261739e+00
2.795834,3.04419446e+00,2.46746612e+00
2.800000,3.03152370e+00,2.46232557e+00
2.804167,3.01890540e+00,2.45719576e+00
2.808333,3.00633931e+00,2.45207644e+00
2.812500,2.99382591e+00,2.44696784e+00
2.816667,2.98136449e+00,2.44186997e+00
2.820833,2.96895480e+00,2.43678260e+00
2.825000,2.95659685e+00,2.43170595e+00
2.829167,2.94429040e+00,2.42663980e+00
2.833333,2.93203473e+00,2.42158413e+00
2.837500,2.91983080e+00,2.41653919e+00
2.841667,2.90767765e+00,2.41150475e+00
2.845834,2.89557481e+00,2.40648079e+00
2.850000,2.88352275e+00,2.40146732e+00
2.854167,2.87152004e+00,2.39646411e+00
2.858334,2.85956764e+00,2.39147139e+00
2.862500,2.84766531e+00,2.38648915e+00
2.866667,2.83581209e+00,2.38151717e+00
2.870833,2.82400846e+00,2.37655568e+00
2.875000,2.81225371e+00,2.37160444e+00
2.879167,2.80054784e+00,2.36666346e+00
2.883333,2.78889132e+00,2.36173296e+00
2.887500,2.77728319e+00,2.35681272e+00
2.891667,2.76572323e+00,2.35190272e+00
2.895833,2.75421095e+00,2.34700274e+00
2.900000,2.74274659e+00,2.34211302e+00
2.904167,2.73133039e+00,2.33723354e+00
2.908334,2.71996164e+00,2.33236432e+00
2.912500,2.70864010e+00,2.32750511e+00
2.916667,2.69736576e+00,2.32265615e+00
2.920834,2.68613839e+00,2.31781721e+00
2.925000,2.67495728e+00,2.31298828e+00
2.929167,2.66382337e+00,2.30816960e+00
2.933333,2.65273571e+00,2.30336094e+00
2.937500,2.64169431e+00,2.29856229e+00
2.941667,2.63069868e+00,2.29377365e+00
2.945833,2.61974859e+00,2.28899479e+00
2.950000,2.60884404e+00,2.28422594e+00
2.954167,2.59798503e+00,2.27946711e+00
2.958333,2.58717108e+00,2.27471805e+00
2.962500,2.57640243e+00,2.26997900e+00
2.966667,2.56567812e+00,2.26524973e+00
2.970834,2.55499911e+00,2.26053047e+00
2.975000,2.54436421e+00,2.25582099e+00
2.979167,2.53377342e+00,2.25112128e+00
2.983334,2.52322698e+00,2.24643135e+00
2.987500,2.51272416e+00,2.24175119e+00
2.991667,2.50226521e+00,2.23708081e+00
2.995833,2.49184990e+00,2.23242021e+00
3.000000,2.48147821e+00,2.22776937e+00
