t,box_y,box_vy,p_body_y,p_grid_y,p_sum_y,KE_box,nodes_inside
0.183333,4.17546809e-01,-4.53856021e-01,-4.53856021e-01,0.00000000e+00,-4.53856021e-01,1.02992646e-01,16
0.187500,4.15787995e-01,-4.22114074e-01,-4.22114074e-01,0.00000000e+00,-4.22114074e-01,8.90901461e-02,16
0.191667,4.14140284e-01,-3.95450830e-01,-3.95450830e-01,0.00000000e+00,-3.95450830e-01,7.81906769e-02,16
0.195833,4.12585884e-01,-3.73053700e-01,-3.73053700e-01,0.00000000e+00,-3.73053700e-01,6.95845336e-02,16
0.200000,4.11109895e-01,-3.54240119e-01,-3.54240119e-01,0.00000000e+00,-3.54240119e-01,6.27430305e-02,16
0.204167,4.09699738e-01,-3.38436723e-01,-3.38436723e-01,0.00000000e+00,-3.38436723e-01,5.72697073e-02,16
0.208333,4.08344895e-01,-3.25161844e-01,-3.25161844e-01,0.00000000e+00,-3.25161844e-01,5.28651141e-02,16
0.212500,4.07036513e-01,-3.14010948e-01,-3.14010948e-01,0.00000000e+00,-3.14010948e-01,4.93014380e-02,16
0.216667,4.05767173e-01,-3.04644197e-01,-3.04644197e-01,0.00000000e+00,-3.04644197e-01,4.64040451e-02,16
0.220833,4.04530615e-01,-2.96776146e-01,-2.96776146e-01,0.00000000e+00,-2.96776146e-01,4.40380387e-02,16
0.225000,4.03321594e-01,-2.90166974e-01,-2.90166974e-01,0.00000000e+00,-2.90166974e-01,4.20984365e-02,16
0.229167,4.02135700e-01,-2.84615278e-01,-2.84615278e-01,0.00000000e+00,-2.84615278e-01,4.05029282e-02,16
0.233333,4.00969237e-01,-2.79951841e-01,-2.79951841e-01,0.00000000e+00,-2.79951841e-01,3.91865149e-02,16
0.237500,3.99819106e-01,-2.76034534e-01,-2.76034534e-01,0.00000000e+00,-2.76034534e-01,3.80975306e-02,16
0.241667,3.98613662e-01,-2.89306074e-01,-2.89306074e-01,0.00000000e+00,-2.89306074e-01,4.18490022e-02,16
0.245833,3.97358447e-01,-3.01250488e-01,-3.01250488e-01,0.00000000e+00,-3.01250488e-01,4.53759283e-02,16
0.250000,3.96058440e-01,-3.12000453e-01,-3.12000453e-01,0.00000000e+00,-3.12000453e-01,4.86721396e-02,16
0.254167,3.94718140e-01,-3.21675420e-01,-3.21675420e-01,0.00000000e+00,-3.21675420e-01,5.17375395e-02,16
0.258333,3.93341541e-01,-3.30382884e-01,-3.30382884e-01,0.00000000e+00,-3.30382884e-01,5.45764230e-02,16
0.262500,3.91932279e-01,-3.38219613e-01,-3.38219613e-01,0.00000000e+00,-3.38219613e-01,5.71962520e-02,16
0.266667,3.90493631e-01,-3.45272660e-01,-3.45272660e-01,0.00000000e+00,-3.45272660e-01,5.96066043e-02,16
0.270833,3.89028549e-01,-3.51620406e-01,-3.51620406e-01,0.00000000e+00,-3.51620406e-01,6.18184544e-02,16
0.275000,3.87539655e-01,-3.57333362e-01,-3.57333362e-01,0.00000000e+00,-3.57333362e-01,6.38435632e-02,16
0.279167,3.86029333e-01,-3.62475038e-01,-3.62475038e-01,0.00000000e+00,-3.62475038e-01,6.56940788e-02,16
0.283333,3.84499729e-01,-3.67102534e-01,-3.67102534e-01,0.00000000e+00,-3.67102534e-01,6.73821345e-02,16
0.287500,3.82952780e-01,-3.71267289e-01,-3.71267289e-01,0.00000000e+00,-3.71267289e-01,6.89197034e-02,16
0.291667,3.81390214e-01,-3.75015557e-01,-3.75015557e-01,0.00000000e+00,-3.75015557e-01,7.03183338e-02,16
0.295833,3.79813582e-01,-3.78389001e-01,-3.78389001e-01,0.00000000e+00,-3.78389001e-01,7.15891197e-02,16
0.300000,3.78224313e-01,-3.81425112e-01,-3.81425112e-01,0.00000000e+00,-3.81425112e-01,7.27425590e-02,16
0.304167,3.76623660e-01,-3.84157598e-01,-3.84157598e-01,0.00000000e+00,-3.84157598e-01,7.37885311e-02,16
0.308333,3.75012755e-01,-3.86616856e-01,-3.86616856e-01,0.00000000e+00,-3.86616856e-01,7.47362971e-02,16
0.312500,3.73392642e-01,-3.88830185e-01,-3.88830185e-01,0.00000000e+00,-3.88830185e-01,7.55944550e-02,16
0.316667,3.71764213e-01,-3.90822172e-01,-3.90822172e-01,0.00000000e+00,-3.90822172e-01,7.63709843e-02,16
0.320833,3.70128304e-01,-3.92614961e-01,-3.92614961e-01,0.00000000e+00,-3.92614961e-01,7.70732537e-02,16
0.325000,3.68485689e-01,-3.94228458e-01,-3.94228458e-01,0.00000000e+00,-3.94228458e-01,7.77080357e-02,16
0.329167,3.66837025e-01,-3.95680636e-01,-3.95680636e-01,0.00000000e+00,-3.95680636e-01,7.82815814e-02,16
0.333333,3.65182906e-01,-3.96987587e-01,-3.96987587e-01,0.00000000e+00,-3.96987587e-01,7.87995756e-02,16
0.337500,3.63523901e-01,-3.98163825e-01,-3.98163825e-01,0.00000000e+00,-3.98163825e-01,7.92672187e-02,16
0.341667,3.61860484e-01,-3.99222434e-01,-3.99222434e-01,0.00000000e+00,-3.99222434e-01,7.96892792e-02,16
0.345833,3.60193074e-01,-4.00175184e-01,-4.00175184e-01,0.00000000e+00,-4.00175184e-01,8.00700858e-02,16
0.350000,3.58522117e-01,-4.01032656e-01,-4.01032656e-01,0.00000000e+00,-4.01032656e-01,8.04135948e-02,16
0.354167,3.56847942e-01,-4.01804388e-01,-4.01804388e-01,0.00000000e+00,-4.01804388e-01,8.07233825e-02,16
0.358333,3.55170876e-01,-4.02498960e-01,-4.02498960e-01,0.00000000e+00,-4.02498960e-01,8.10027048e-02,16
0.362500,3.53491187e-01,-4.03124064e-01,-4.03124064e-01,0.00000000e+00,-4.03124064e-01,8.12545046e-02,16
0.366667,3.51809174e-01,-4.03686672e-01,-4.03686672e-01,0.00000000e+00,-4.03686672e-01,8.14814642e-02,16
0.370833,3.50125045e-01,-4.04193014e-01,-4.04193014e-01,0.00000000e+00,-4.04193014e-01,8.16859975e-02,16
0.375000,3.48439008e-01,-4.04648721e-01,-4.04648721e-01,0.00000000e+00,-4.04648721e-01,8.18702951e-02,16
0.379167,3.47021043e-01,-3.40315044e-01,-3.40315044e-01,0.00000000e+00,-3.40315044e-01,5.79071641e-02,32
0.383333,3.45801413e-01,-2.92708129e-01,-2.92708129e-01,0.00000000e+00,-2.92708129e-01,4.28390242e-02,32
0.387500,3.44728589e-01,-2.57479012e-01,-2.57479012e-01,0.00000000e+00,-2.57479012e-01,3.31477225e-02,32
0.391667,3.43764395e-01,-2.31409475e-01,-2.31409475e-01,0.00000000e+00,-2.31409475e-01,2.67751720e-02,32
0.395833,3.42880577e-01,-2.12118030e-01,-2.12118030e-01,0.00000000e+00,-2.12118030e-01,2.24970300e-02,32
0.400000,3.42056245e-01,-1.97842360e-01,-1.97842360e-01,0.00000000e+00,-1.97842360e-01,1.95707995e-02,32
0.404167,3.41275930e-01,-1.87278345e-01,-1.87278345e-01,0.00000000e+00,-1.87278345e-01,1.75365899e-02,32
0.408333,3.40528190e-01,-1.79460987e-01,-1.79460987e-01,0.00000000e+00,-1.79460987e-01,1.61031224e-02,32
0.412500,3.39804530e-01,-1.73676148e-01,-1.73676148e-01,0.00000000e+00,-1.73676148e-01,1.50817018e-02,32
0.416667,3.39098722e-01,-1.69395357e-01,-1.69395357e-01,0.00000000e+00,-1.69395357e-01,1.43473940e-02,32
0.420833,3.38406116e-01,-1.66227564e-01,-1.66227564e-01,0.00000000e+00,-1.66227564e-01,1.38158016e-02,32
0.425000,3.37723255e-01,-1.63883403e-01,-1.63883403e-01,0.00000000e+00,-1.63883403e-01,1.34288846e-02,32
0.429167,3.37047637e-01,-1.62148729e-01,-1.62148729e-01,0.00000000e+00,-1.62148729e-01,1.31461052e-02,32
0.433333,3.36377352e-01,-1.60865068e-01,-1.60865068e-01,0.00000000e+00,-1.60865068e-01,1.29387854e-02,32
0.437500,3.35711032e-01,-1.59915164e-01,-1.59915164e-01,0.00000000e+00,-1.59915164e-01,1.27864303e-02,32
0.441667,3.35047662e-01,-1.59212217e-01,-1.59212217e-01,0.00000000e+00,-1.59212217e-01,1.26742646e-02,32
0.445833,3.34386438e-01,-1.58692047e-01,-1.58692047e-01,0.00000000e+00,-1.58692047e-01,1.25915827e-02,32
0.450000,3.33726823e-01,-1.58307105e-01,-1.58307105e-01,0.00000000e+00,-1.58307105e-01,1.25305699e-02,32
0.454167,3.33068401e-01,-1.58022270e-01,-1.58022270e-01,0.00000000e+00,-1.58022270e-01,1.24855191e-02,32
0.458333,3.32410842e-01,-1.57811478e-01,-1.57811478e-01,0.00000000e+00,-1.57811478e-01,1.24522317e-02,32
0.462500,3.31753939e-01,-1.57655492e-01,-1.57655492e-01,0.00000000e+00,-1.57655492e-01,1.24276271e-02,32
0.466667,3.31097513e-01,-1.57540068e-01,-1.57540068e-01,0.00000000e+00,-1.57540068e-01,1.24094365e-02,32
0.470833,3.30441445e-01,-1.57454655e-01,-1.57454655e-01,0.00000000e+00,-1.57454655e-01,1.23959845e-02,32
0.475000,3.29785645e-01,-1.57391444e-01,-1.57391444e-01,0.00000000e+00,-1.57391444e-01,1.23860333e-02,32
0.479167,3.29130054e-01,-1.57344684e-01,-1.57344684e-01,0.00000000e+00,-1.57344684e-01,1.23786749e-02,32
0.483333,3.28474581e-01,-1.57310069e-01,-1.57310069e-01,0.00000000e+00,-1.57310069e-01,1.23732286e-02,32
