t,px,py,pz,Lx,Ly,Lz,KE_sys
0.170833,4.00000000e+00,0.00000000e+00,6.99999988e-01,0.00000000e+00,6.10000896e+00,0.00000000e+00,1.21450005e+01
0.175000,4.00000000e+00,0.00000000e+00,6.99999988e-01,0.00000000e+00,6.10000944e+00,0.00000000e+00,1.21450005e+01
0.179167,4.00000000e+00,0.00000000e+00,6.99999988e-01,0.00000000e+00,6.10000944e+00,0.00000000e+00,1.21450005e+01
0.183333,4.00000000e+00,0.00000000e+00,6.99999988e-01,0.00000000e+00,6.10000992e+00,0.00000000e+00,1.21450005e+01
0.187500,4.00000000e+00,0.00000000e+00,6.99999988e-01,0.00000000e+00,6.10000992e+00,0.00000000e+00,1.21450005e+01
0.191667,4.00000000e+00,0.00000000e+00,6.99999988e-01,0.00000000e+00,6.10000992e+00,0.00000000e+00,1.21450005e+01
0.195833,4.00000000e+00,0.00000000e+00,6.99999988e-01,0.00000000e+00,6.10001087e+00,0.00000000e+00,1.21450005e+01
0.200000,4.00000000e+00,0.00000000e+00,6.99999988e-01,0.00000000e+00,6.10001087e+00,0.00000000e+00,1.21450005e+01
0.204167,4.00000000e+00,0.00000000e+00,6.99999988e-01,0.00000000e+00,6.10001087e+00,0.00000000e+00,1.21450005e+01
0.208333,4.00000000e+00,0.00000000e+00,6.99999988e-01,0.00000000e+00,6.10001135e+00,0.00000000e+00,1.21450005e+01
0.212500,4.00000000e+00,0.00000000e+00,6.99999988e-01,0.00000000e+00,6.10001135e+00,0.00000000e+00,1.21450005e+01
0.216667,4.00000000e+00,0.00000000e+00,6.99999988e-01,0.00000000e+00,6.10001135e+00,0.00000000e+00,1.21450005e+01
0.220833,4.00000000e+00,0.00000000e+00,6.99999988e-01,0.00000000e+00,6.10001183e+00,0.00000000e+00,1.21450005e+01
0.225000,4.00000000e+00,0.00000000e+00,6.99999988e-01,0.00000000e+00,6.10001183e+00,0.00000000e+00,1.21450005e+01
0.229167,4.00000000e+00,0.00000000e+00,6.99999988e-01,0.00000000e+00,6.10001230e+00,0.00000000e+00,1.21450005e+01
0.233333,4.00000000e+00,0.00000000e+00,6.99999988e-01,0.00000000e+00,6.10001230e+00,0.00000000e+00,1.21450005e+01
0.237500,4.00000000e+00,0.00000000e+00,6.99999988e-01,0.00000000e+00,6.10001230e+00,0.00000000e+00,1.21450005e+01
0.241667,4.00000000e+00,0.00000000e+00,6.99999988e-01,0.00000000e+00,6.10001278e+00,0.00000000e+00,1.21450005e+01
0.245833,4.00000000e+00,0.00000000e+00,6.99999988e-01,0.00000000e+00,6.10001278e+00,0.00000000e+00,1.21450005e+01
0.250000,4.00000000e+00,0.00000000e+00,6.99999988e-01,0.00000000e+00,6.10001373e+00,0.00000000e+00,1.21450005e+01
0.254167,4.00000000e+00,0.00000000e+00,6.99999988e-01,0.00000000e+00,6.10001373e+00,0.00000000e+00,1.21450005e+01
0.258333,4.00000000e+00,0.00000000e+00,6.99999988e-01,0.00000000e+00,6.10001373e+00,0.00000000e+00,1.21450005e+01
0.262500,4.00000000e+00,0.00000000e+00,6.99999988e-01,0.00000000e+00,6.10001421e+00,0.00000000e+00,1.21450005e+01
0.266667,4.00000000e+00,0.00000000e+00,6.99999988e-01,0.00000000e+00,6.10001421e+00,0.00000000e+00,1.21450005e+01
0.270833,4.00000000e+00,0.00000000e+00,6.99999988e-01,0.00000000e+00,6.10001469e+00,0.00000000e+00,1.21450005e+01
0.275000,4.00000000e+00,0.00000000e+00,6.99999988e-01,0.00000000e+00,6.10001469e+00,0.00000000e+00,1.21450005e+01
0.279167,4.00000000e+00,0.00000000e+00,6.99999988e-01,0.00000000e+00,6.10001469e+00,0.00000000e+00,1.21450005e+01
0.283333,4.00000000e+00,0.00000000e+00,6.99999988e-01,0.00000000e+00,6.10001516e+00,0.00000000e+00,1.21450005e+01
0.287500,4.00000000e+00,0.00000000e+00,6.99999988e-01,0.00000000e+00,6.10001516e+00,0.00000000e+00,1.21450005e+01
0.291667,4.00000000e+00,0.00000000e+00,6.99999988e-01,0.00000000e+00,6.10001516e+00,0.00000000e+00,1.21450005e+01
0.295833,4.00000000e+00,0.00000000e+00,6.99999988e-01,0.00000000e+00,6.10001564e+00,0.00000000e+00,1.21450005e+01
0.300000,4.00000000e+00,0.00000000e+00,6.99999988e-01,0.00000000e+00,6.10001564e+00,0.00000000e+00,1.21450005e+01
0.304167,4.00000000e+00,0.00000000e+00,6.99999988e-01,0.00000000e+00,6.10001564e+00,0.00000000e+00,1.21450005e+01
0.308333,4.00000000e+00,0.00000000e+00,6.99999988e-01,0.00000000e+00,6.10001659e+00,0.00000000e+00,1.21450005e+01
0.312500,4.00000000e+00,0.00000000e+00,6.99999988e-01,0.00000000e+00,6.10001659e+00,0.00000000e+00,1.21450005e+01
0.316667,4.00000000e+00,0.00000000e+00,6.99999988e-01,0.00000000e+00,6.10001707e+00,0.00000000e+00,1.21450005e+01
0.320833,4.00000000e+00,0.00000000e+00,6.99999988e-01,0.00000000e+00,6.10001707e+00,0.00000000e+00,1.21450005e+01
0.325000,4.00000000e+00,0.00000000e+00,6.99999988e-01,0.00000000e+00,6.10001707e+00,0.00000000e+00,1.21450005e+01
0.329167,4.00000000e+00,0.00000000e+00,6.99999988e-01,0.00000000e+00,6.10001755e+00,0.00000000e+00,1.21450005e+01
0.333333,4.00000000e+00,0.00000000e+00,6.99999988e-01,0.00000000e+00,6.10001755e+00,0.00000000e+00,1.21450005e+01
0.337500,4.00000000e+00,0.00000000e+00,6.99999988e-01,0.00000000e+00,6.10001755e+00,0.00000000e+00,1.21450005e+01
0.341667,4.00000000e+00,0.00000000e+00,6.99999988e-01,0.00000000e+00,6.10001755e+00,0.00000000e+00,1.21450005e+01
0.345833,4.00000000e+00,0.00000000e+00,6.99999988e-01,0.00000000e+00,6.10001755e+00,0.00000000e+00,1.21450005e+01
0.350000,4.00000000e+00,0.00000000e+00,6.99999988e-01,0.00000000e+00,6.10001755e+00,0.00000000e+00,1.21450005e+01
0.354167,4.00000000e+00,0.00000000e+00,6.99999988e-01,0.00000000e+00,6.10001707e+00,0.00000000e+00,1.21450005e+01
0.358333,4.00000000e+00,0.00000000e+00,6.99999988e-01,0.00000000e+00,6.10001755e+00,0.00000000e+00,1.21450005e+01
0.362500,4.00000000e+00,0.00000000e+00,6.99999988e-01,0.00000000e+00,6.10001755e+00,0.00000000e+00,1.21450005e+01
0.366667,4.00000000e+00,0.00000000e+00,6.99999988e-01,0.00000000e+00,6.10001755e+00,0.00000000e+00,1.21450005e+01
0.370833,4.00000000e+00,0.00000000e+00,6.99999988e-01,0.00000000e+00,6.10001755e+00,0.00000000e+00,1.21450005e+01
0.375000,4.00000000e+00,0.00000000e+00,6.99999988e-01,0.00000000e+00,6.10001755e+00,0.00000000e+00,1.21450005e+01
0.379167,4.00000000e+00,0.00000000e+00,6.99999988e-01,0.00000000e+00,6.10001755e+00,0.00000000e+00,1.21450005e+01
0.383333,4.00000000e+00,0.00000000e+00,6.99999988e-01,0.00000000e+00,6.10001755e+00,0.00000000e+00,1.21450005e+01
0.387500,4.00000000e+00,0.00000000e+00,6.99999988e-01,0.00000000e+00,6.10001755e+00,0.00000000e+00,1.21450005e+01
0.391667,4.00000000e+00,0.00000000e+00,6.99999988e-01,0.00000000e+00,6.10001755e+00,0.00000000e+00,1.21450005e+01
