t,y1,y2,y3,y1_drift,y2_drift,y3_drift
0.187500,4.94174540e-01,1.49417329e+00,2.49400687e+00,-5.82545996e-03,-5.82671165e-03,-5.99312782e-03
0.191667,4.94169325e-01,1.49416804e+00,2.49400163e+00,-5.83067536e-03,-5.83195686e-03,-5.99837303e-03
0.195833,4.94165152e-01,1.49416387e+00,2.49399734e+00,-5.83484769e-03,-5.83612919e-03,-6.00266457e-03
0.200000,4.94161814e-01,1.49416053e+00,2.49399400e+00,-5.83818555e-03,-5.83946705e-03,-6.00600243e-03
0.204167,4.94159132e-01,1.49415791e+00,2.49399137e+00,-5.84086776e-03,-5.84208965e-03,-6.00862503e-03
0.208333,4.94156986e-01,1.49415576e+00,2.49398923e+00,-5.84301353e-03,-5.84423542e-03,-6.01077080e-03
0.212500,4.94155288e-01,1.49415410e+00,2.49398756e+00,-5.84471226e-03,-5.84590435e-03,-6.01243973e-03
0.216667,4.94153917e-01,1.49415278e+00,2.49398613e+00,-5.84608316e-03,-5.84721565e-03,-6.01387024e-03
0.220833,4.94152814e-01,1.49415171e+00,2.49398494e+00,-5.84718585e-03,-5.84828854e-03,-6.01506233e-03
0.225000,4.94151950e-01,1.49415088e+00,2.49398398e+00,-5.84805012e-03,-5.84912300e-03,-6.01601601e-03
0.229167,4.94151235e-01,1.49415016e+00,2.49398327e+00,-5.84876537e-03,-5.84983826e-03,-6.01673126e-03
0.233333,4.94150668e-01,1.49414957e+00,2.49398279e+00,-5.84933162e-03,-5.85043430e-03,-6.01720810e-03
0.237500,4.94150221e-01,1.49414909e+00,2.49398232e+00,-5.84977865e-03,-5.85091114e-03,-6.01768494e-03
0.241667,4.94149864e-01,1.49414873e+00,2.49398208e+00,-5.85013628e-03,-5.85126877e-03,-6.01792336e-03
0.245833,4.94149566e-01,1.49414849e+00,2.49398184e+00,-5.85043430e-03,-5.85150719e-03,-6.01816177e-03
0.250000,4.94149327e-01,1.49414825e+00,2.49398160e+00,-5.85067272e-03,-5.85174561e-03,-6.01840019e-03
0.254167,4.94149148e-01,1.49414814e+00,2.49398136e+00,-5.85085154e-03,-5.85186481e-03,-6.01863861e-03
0.258333,4.94148999e-01,1.49414802e+00,2.49398112e+00,-5.85100055e-03,-5.85198402e-03,-6.01887703e-03
0.262500,4.94148880e-01,1.49414790e+00,2.49398112e+00,-5.85111976e-03,-5.85210323e-03,-6.01887703e-03
0.266667,4.94148791e-01,1.49414778e+00,2.49398112e+00,-5.85120916e-03,-5.85222244e-03,-6.01887703e-03
